Ti Zr Hf V Nb Ta Mo W Re Ru Al Cr Si surf gsf D
0.222 0.000 0.000 0.583 0.069 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.049 0.676 3.033
0.222 0.000 0.000 0.597 0.042 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.046 0.676 3.029
0.222 0.000 0.000 0.597 0.056 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.057 0.677 3.040
0.319 0.000 0.000 0.528 0.000 0.000 0.000 0.028 0.000 0.000 0.125 0.000 0.000 2.040 0.672 3.036
0.417 0.000 0.000 0.444 0.000 0.000 0.000 0.000 0.000 0.000 0.056 0.083 0.000 2.035 0.671 3.031
0.417 0.000 0.000 0.444 0.000 0.000 0.000 0.000 0.000 0.000 0.069 0.069 0.000 2.012 0.636 3.161
0.417 0.000 0.000 0.458 0.000 0.000 0.000 0.000 0.000 0.000 0.056 0.069 0.000 2.029 0.665 3.051
0.417 0.000 0.000 0.458 0.000 0.000 0.000 0.000 0.000 0.000 0.069 0.056 0.000 2.010 0.637 3.158
0.458 0.014 0.000 0.403 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.125 0.000 2.017 0.672 3.002
0.472 0.014 0.000 0.389 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.125 0.000 2.009 0.659 3.049
0.458 0.014 0.000 0.403 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.125 0.000 2.017 0.672 3.002
0.472 0.014 0.000 0.389 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.125 0.000 2.009 0.659 3.049
0.431 0.000 0.000 0.181 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.005 0.655 3.061
0.431 0.000 0.000 0.194 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.005 0.654 3.064
0.431 0.000 0.000 0.208 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.003 0.660 3.037
0.431 0.000 0.000 0.222 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.005 0.666 3.011
0.472 0.000 0.000 0.167 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.988 0.644 3.089
0.472 0.000 0.000 0.181 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.990 0.644 3.090
0.472 0.000 0.000 0.194 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.991 0.647 3.079
0.472 0.000 0.000 0.208 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.995 0.649 3.075
0.472 0.000 0.000 0.222 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.996 0.649 3.076
0.472 0.000 0.000 0.250 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.998 0.655 3.051
0.472 0.000 0.000 0.264 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.998 0.661 3.024
0.472 0.000 0.000 0.278 0.097 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.001 0.661 3.025
0.472 0.000 0.000 0.306 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.043 0.671 3.045
0.472 0.000 0.000 0.319 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.044 0.677 3.018
0.472 0.000 0.000 0.333 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.041 0.680 3.002
0.486 0.000 0.000 0.292 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.040 0.671 3.043
0.486 0.000 0.000 0.306 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.043 0.671 3.045
0.486 0.000 0.000 0.319 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.040 0.677 3.012
0.500 0.000 0.000 0.292 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.028 0.660 3.072
0.500 0.000 0.000 0.306 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.026 0.664 3.051
0.458 0.000 0.000 0.333 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.052 0.682 3.008
0.403 0.000 0.000 0.181 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.009 0.667 3.011
0.403 0.000 0.000 0.194 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.008 0.667 3.012
0.403 0.000 0.000 0.208 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.006 0.667 3.009
0.417 0.000 0.000 0.181 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.007 0.658 3.050
0.417 0.000 0.000 0.194 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.005 0.657 3.052
0.417 0.000 0.000 0.208 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.005 0.664 3.021
0.417 0.000 0.000 0.222 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.006 0.666 3.012
0.444 0.000 0.000 0.181 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.002 0.650 3.079
0.444 0.000 0.000 0.194 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.998 0.648 3.084
0.444 0.000 0.000 0.208 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.999 0.652 3.066
0.444 0.000 0.000 0.222 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.003 0.661 3.031
0.444 0.000 0.000 0.236 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.004 0.666 3.008
0.444 0.000 0.000 0.250 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 2.004 0.666 3.007
0.458 0.000 0.000 0.167 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.990 0.641 3.106
0.458 0.000 0.000 0.181 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.992 0.646 3.081
0.458 0.000 0.000 0.194 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.992 0.646 3.083
0.458 0.000 0.000 0.208 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.997 0.652 3.064
0.458 0.000 0.000 0.222 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.998 0.653 3.061
0.458 0.000 0.000 0.236 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.998 0.655 3.050
0.458 0.000 0.000 0.264 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.999 0.660 3.028
0.500 0.000 0.000 0.167 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.974 0.635 3.110
0.500 0.000 0.000 0.181 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.973 0.635 3.106
0.500 0.000 0.000 0.292 0.056 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.992 0.653 3.050
0.500 0.000 0.000 0.306 0.042 0.000 0.000 0.000 0.000 0.000 0.000 0.153 0.000 1.996 0.657 3.040
0.417 0.000 0.000 0.431 0.000 0.000 0.000 0.000 0.000 0.000 0.069 0.083 0.000 2.032 0.644 3.152
0.431 0.000 0.000 0.181 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.007 0.666 3.012
0.431 0.000 0.000 0.194 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.008 0.667 3.010
0.472 0.000 0.000 0.181 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 1.998 0.652 3.065
0.472 0.000 0.000 0.208 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.002 0.661 3.027
0.486 0.000 0.000 0.292 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.045 0.681 3.003
0.500 0.000 0.000 0.278 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.044 0.673 3.035
0.444 0.000 0.000 0.181 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.007 0.662 3.032
0.444 0.000 0.000 0.208 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.008 0.667 3.011
0.458 0.000 0.000 0.194 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.005 0.661 3.033
0.458 0.000 0.000 0.222 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 2.005 0.666 3.010
0.500 0.000 0.000 0.181 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.000 1.997 0.648 3.081
0.417 0.000 0.000 0.417 0.000 0.000 0.000 0.000 0.000 0.000 0.069 0.097 0.000 2.035 0.664 3.066
0.472 0.000 0.000 0.181 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.181 0.000 2.007 0.668 3.006
0.472 0.000 0.000 0.194 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.181 0.000 2.009 0.668 3.008
0.500 0.000 0.000 0.167 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.181 0.000 2.000 0.653 3.061
0.500 0.000 0.000 0.181 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.181 0.000 2.001 0.656 3.052
0.417 0.000 0.000 0.403 0.000 0.000 0.000 0.000 0.000 0.000 0.069 0.111 0.000 2.040 0.678 3.007
